16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 0 ms.;
Samples before = 0 smpl.;  Samples after = 8192 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

5,72; 	 0.000; 	-12.903; 	209.265; 	14.485; 	104.191; 	-6.326; 	98.398; 	 5.183; 
5,76; 	 0.000; 	-12.173; 	211.283; 	14.265; 	104.953; 	-7.393; 	97.941; 	 4.116; 
5,8; 	 0.000; 	-12.069; 	212.345; 	14.265; 	103.886; 	-9.070; 	96.645; 	 3.354; 
5,84; 	 0.000; 	-11.860; 	213.619; 	14.375; 	104.191; 	-10.290; 	95.655; 	 2.134; 
5,88; 	 0.000; 	-12.590; 	215.000; 	14.485; 	104.496; 	-10.899; 	94.130; 	 1.905; 
5,92; 	 0.000; 	-11.651; 	216.274; 	14.705; 	104.496; 	-11.509; 	92.911; 	 0.152; 
5,96; 	 0.000; 	-12.486; 	217.336; 	14.924; 	104.191; 	-12.424; 	92.987; 	 1.296; 
6; 	 0.000; 	-12.903; 	218.769; 	15.364; 	105.715; 	-13.033; 	92.682; 	 0.991; 
6,04; 	 0.000; 	-12.590; 	220.150; 	15.309; 	105.868; 	-14.100; 	91.767; 	-0.229; 
6,08; 	 0.000; 	-13.007; 	221.105; 	15.584; 	107.240; 	-13.948; 	92.377; 	-0.229; 
6,12; 	 0.000; 	-13.112; 	222.698; 	15.804; 	106.173; 	-16.082; 	89.024; 	-1.524; 
6,16; 	 0.000; 	-12.903; 	223.972; 	15.804; 	107.240; 	-16.082; 	89.633; 	-2.058; 
6,2; 	 0.000; 	-13.320; 	225.353; 	15.804; 	107.240; 	-17.302; 	87.957; 	-2.744; 
6,24; 	 0.000; 	-13.946; 	225.671; 	16.353; 	107.850; 	-17.607; 	89.328; 	-1.677; 
6,28; 	 0.000; 	-13.842; 	227.477; 	16.573; 	107.240; 	-19.131; 	87.194; 	-3.049; 
6,32; 	 0.000; 	-13.946; 	228.538; 	17.012; 	107.240; 	-19.741; 	87.804; 	-3.735; 
6,36; 	 0.000; 	-14.050; 	230.237; 	16.793; 	108.002; 	-20.198; 	85.518; 	-4.344; 
6,4; 	 0.000; 	-14.781; 	231.034; 	16.463; 	107.850; 	-21.341; 	85.060; 	-4.497; 
6,44; 	 0.000; 	-14.468; 	232.627; 	16.573; 	107.087; 	-22.256; 	83.079; 	-5.793; 
6,48; 	 0.000; 	-14.885; 	233.582; 	16.957; 	108.154; 	-23.018; 	83.231; 	-5.335; 
6,52; 	 0.000; 	-14.572; 	234.963; 	16.902; 	108.002; 	-23.323; 	81.707; 	-6.783; 
6,56; 	 0.000; 	-14.468; 	236.237; 	17.342; 	108.154; 	-23.933; 	81.402; 	-6.936; 
6,6; 	 0.000; 	-14.781; 	237.511; 	16.902; 	107.240; 	-25.152; 	80.182; 	-8.079; 
6,64; 	 0.000; 	-14.781; 	238.679; 	17.122; 	107.545; 	-25.762; 	79.268; 	-7.546; 
6,68; 	 0.000; 	-14.781; 	240.697; 	17.012; 	105.411; 	-27.591; 	78.353; 	-8.765; 
6,72; 	 0.000; 	-14.468; 	242.184; 	17.452; 	106.173; 	-27.744; 	77.896; 	-10.137; 
6,76; 	 0.000; 	-14.989; 	243.299; 	16.683; 	108.154; 	-27.591; 	77.743; 	-10.442; 
6,8; 	 0.000; 	-15.198; 	244.467; 	17.122; 	108.612; 	-27.134; 	78.048; 	-10.899; 
6,84; 	 0.000; 	-15.406; 	245.635; 	16.793; 	108.002; 	-28.049; 	76.295; 	-11.509; 
6,88; 	 0.000; 	-14.624; 	247.334; 	16.243; 	106.935; 	-29.725; 	75.609; 	-12.652; 
6,92; 	 0.000; 	-15.093; 	248.396; 	16.683; 	107.545; 	-28.811; 	75.685; 	-11.661; 
6,96; 	 0.000; 	-14.728; 	249.776; 	16.133; 	106.173; 	-30.792; 	74.313; 	-13.796; 
7; 	 0.000; 	-14.363; 	251.953; 	16.463; 	104.801; 	-31.555; 	72.027; 	-15.168; 
7,04; 	 0.000; 	-15.302; 	252.962; 	16.902; 	106.020; 	-31.097; 	73.704; 	-14.558; 
7,08; 	 0.000; 	-14.989; 	254.289; 	17.122; 	106.020; 	-31.097; 	72.941; 	-14.482; 
7,12; 	 0.000; 	-14.676; 	255.935; 	17.287; 	104.648; 	-32.012; 	73.399; 	-15.015; 
7,16; 	 0.000; 	-15.093; 	256.678; 	16.902; 	105.715; 	-30.945; 	72.941; 	-14.253; 
7,2; 	 0.000; 	-15.198; 	258.112; 	18.001; 	104.801; 	-31.859; 	73.246; 	-14.558; 
7,24; 	 0.000; 	-15.302; 	259.068; 	18.111; 	105.411; 	-32.774; 	72.179; 	-13.338; 
7,28; 	 0.000; 	-15.406; 	260.236; 	18.441; 	105.106; 	-31.555; 	72.941; 	-13.643; 
7,32; 	 0.000; 	-15.511; 	261.722; 	17.891; 	104.496; 	-32.164; 	70.655; 	-14.710; 
7,36; 	 0.000; 	-15.198; 	262.678; 	18.111; 	105.106; 	-30.640; 	72.027; 	-13.643; 
7,4; 	 0.000; 	-15.615; 	263.952; 	18.990; 	104.801; 	-30.792; 	71.722; 	-14.253; 
7,44; 	 0.000; 	-15.511; 	265.333; 	18.880; 	105.106; 	-30.945; 	72.637; 	-13.948; 
7,48; 	 0.000; 	-15.406; 	266.607; 	18.661; 	105.106; 	-30.640; 	71.722; 	-12.881; 
7,52; 	 0.000; 	-15.771; 	267.722; 	19.485; 	105.334; 	-29.344; 	72.255; 	-13.338; 
7,56; 	 0.000; 	-15.719; 	269.155; 	18.990; 	104.648; 	-28.658; 	72.179; 	-11.890; 
7,6; 	 0.000; 	-15.719; 	270.323; 	18.990; 	104.648; 	-28.049; 	74.008; 	-11.357; 
7,64; 	 0.000; 	-15.511; 	272.182; 	18.331; 	105.563; 	-28.506; 	70.655; 	-13.186; 
7,68; 	 0.000; 	-16.241; 	273.031; 	18.331; 	105.258; 	-26.829; 	73.704; 	-10.594; 
7,72; 	 0.000; 	-16.345; 	273.987; 	18.880; 	106.630; 	-26.067; 	74.771; 	-9.604; 
7,76; 	 0.000; 	-16.241; 	274.836; 	18.661; 	106.325; 	-26.067; 	75.076; 	-10.290; 
7,8; 	 0.000; 	-16.293; 	277.385; 	18.880; 	105.868; 	-25.914; 	74.466; 	-9.375; 
7,84; 	 0.000; 	-16.449; 	278.022; 	19.320; 	105.868; 	-24.695; 	74.466; 	-9.985; 
7,88; 	 0.000; 	-16.032; 	279.615; 	19.100; 	105.563; 	-23.475; 	75.457; 	-7.393; 
7,92; 	 0.000; 	-16.293; 	279.721; 	20.034; 	106.630; 	-22.332; 	75.380; 	-6.707; 
7,96; 	 0.000; 	-16.032; 	281.632; 	19.210; 	105.715; 	-21.570; 	77.438; 	-6.021; 
8; 	 0.000; 	-16.554; 	282.376; 	19.650; 	106.325; 	-20.808; 	78.505; 	-5.793; 
8,04; 	 0.000; 	-16.971; 	283.385; 	19.869; 	107.392; 	-18.369; 	79.725; 	-3.354; 
8,08; 	 0.000; 	-16.971; 	284.446; 	20.309; 	108.002; 	-17.759; 	81.249; 	-1.905; 
8,12; 	 0.000; 	-16.971; 	286.676; 	19.540; 	106.325; 	-17.911; 	79.877; 	-2.363; 
8,16; 	 0.000; 	-16.971; 	287.632; 	19.650; 	106.935; 	-16.387; 	81.097; 	-1.524; 
8,2; 	 0.000; 	-15.615; 	289.862; 	18.661; 	104.496; 	-16.692; 	77.438; 	-3.354; 
8,24; 	 0.000; 	-15.719; 	290.287; 	18.661; 	105.411; 	-15.625; 	80.182; 	-1.982; 
8,28; 	 0.000; 	-16.137; 	291.349; 	18.990; 	105.411; 	-14.863; 	81.249; 	-0.762; 
8,32; 	 0.000; 	-16.032; 	292.623; 	19.540; 	105.715; 	-12.576; 	82.011; 	 0.000; 
8,36; 	 0.000; 	-16.032; 	294.110; 	19.320; 	105.106; 	-11.814; 	81.402; 	-0.229; 
8,4; 	 0.000; 	-16.710; 	294.853; 	19.760; 	105.715; 	-10.594; 	83.841; 	 1.220; 
8,44; 	 0.000; 	-16.554; 	297.083; 	19.540; 	105.715; 	-9.070; 	83.536; 	 2.591; 
8,48; 	 0.000; 	-16.345; 	298.198; 	18.771; 	106.783; 	-8.003; 	84.908; 	 4.116; 
8,52; 	 0.000; 	-16.137; 	299.366; 	18.661; 	105.868; 	-7.698; 	85.213; 	 5.107; 
8,56; 	 0.000; 	-16.345; 	300.322; 	18.606; 	106.020; 	-5.564; 	85.518; 	 5.412; 
8,6; 	 0.000; 	-16.658; 	301.277; 	19.100; 	105.715; 	-4.192; 	85.975; 	 6.555; 
8,64; 	 0.000; 	-16.449; 	303.189; 	19.100; 	106.325; 	-2.973; 	88.414; 	 7.317; 
8,68; 	 0.000; 	-16.241; 	304.357; 	19.100; 	105.411; 	-3.354; 	88.109; 	 6.402; 
8,72; 	 0.000; 	-16.658; 	304.888; 	19.320; 	106.325; 	-1.524; 	89.328; 	 8.384; 
8,76; 	 0.000; 	-16.762; 	306.480; 	19.210; 	105.258; 	-0.762; 	91.005; 	 8.994; 
8,8; 	 0.000; 	-16.867; 	307.542; 	19.320; 	105.411; 	 0.610; 	90.853; 	 9.756; 
8,84; 	 0.000; 	-16.971; 	308.923; 	19.100; 	105.715; 	 1.829; 	90.548; 	10.823; 
