16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 0 ms.;
Samples before = 0 smpl.;  Samples after = 8192 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

3,6; 	 0.000; 	-6.176; 	75.575; 	 5.969; 	105.868; 	-32.012; 	42.683; 	-16.235; 
3,64; 	 0.000; 	-5.758; 	76.212; 	 6.188; 	106.020; 	-33.384; 	40.396; 	-15.854; 
3,68; 	 0.000; 	-5.654; 	76.637; 	 6.408; 	106.325; 	-31.250; 	42.530; 	-16.235; 
3,72; 	 0.000; 	-5.863; 	77.698; 	 6.188; 	106.630; 	-30.335; 	42.835; 	-16.006; 
3,76; 	 0.000; 	-5.758; 	78.973; 	 5.969; 	105.411; 	-30.030; 	41.768; 	-16.539; 
3,8; 	 0.000; 	-6.176; 	80.141; 	 6.518; 	106.173; 	-29.268; 	44.817; 	-13.186; 
3,84; 	 0.000; 	-6.488; 	80.672; 	 6.628; 	106.630; 	-29.420; 	44.054; 	-14.558; 
3,88; 	 0.000; 	-5.758; 	82.158; 	 6.078; 	104.953; 	-29.878; 	43.597; 	-14.329; 
3,92; 	 0.000; 	-6.019; 	81.999; 	 6.738; 	106.783; 	-27.896; 	43.445; 	-14.100; 
3,96; 	 0.000; 	-6.488; 	83.061; 	 5.859; 	106.173; 	-27.591; 	43.750; 	-12.652; 
4; 	 0.000; 	-6.384; 	84.229; 	 5.804; 	106.020; 	-26.981; 	44.969; 	-13.186; 
4,04; 	 0.000; 	-6.488; 	84.760; 	 6.408; 	106.020; 	-25.610; 	45.579; 	-12.119; 
4,08; 	 0.000; 	-6.697; 	85.079; 	 6.628; 	106.630; 	-24.847; 	45.274; 	-12.043; 
4,12; 	 0.000; 	-7.531; 	85.503; 	 7.287; 	107.240; 	-24.238; 	46.189; 	-9.604; 
4,16; 	 0.000; 	-7.166; 	86.565; 	 7.177; 	107.087; 	-23.780; 	48.018; 	-10.442; 
4,2; 	 0.000; 	-6.488; 	88.264; 	 5.969; 	106.020; 	-23.628; 	47.179; 	-9.908; 
4,24; 	 0.000; 	-7.531; 	88.264; 	 6.738; 	106.630; 	-21.951; 	48.475; 	-7.698; 
4,28; 	 0.000; 	-6.593; 	89.963; 	 5.309; 	106.783; 	-20.960; 	49.390; 	-8.765; 
4,32; 	 0.000; 	-6.801; 	90.494; 	 6.078; 	106.478; 	-20.198; 	51.219; 	-7.393; 
4,36; 	 0.000; 	-7.531; 	90.494; 	 6.848; 	106.630; 	-18.064; 	50.152; 	-6.021; 
4,4; 	 0.000; 	-6.801; 	91.875; 	 6.518; 	106.173; 	-17.759; 	51.829; 	-6.783; 
4,44; 	 0.000; 	-6.906; 	93.361; 	 6.848; 	105.868; 	-18.216; 	50.304; 	-5.564; 
4,48; 	 0.000; 	-7.010; 	93.255; 	 6.738; 	106.935; 	-16.539; 	52.591; 	-4.878; 
4,52; 	 0.000; 	-7.323; 	94.423; 	 7.507; 	107.545; 	-14.863; 	53.810; 	-3.277; 
4,56; 	 0.000; 	-7.323; 	95.857; 	 8.991; 	104.648; 	-13.033; 	55.640; 	-3.201; 
4,6; 	 0.000; 	-7.010; 	97.025; 	 8.661; 	104.344; 	-12.881; 	54.420; 	-2.515; 
4,64; 	 0.000; 	-6.071; 	97.449; 	 8.386; 	104.801; 	-12.347; 	55.564; 	-0.152; 
4,68; 	 0.000; 	-6.697; 	98.193; 	 8.551; 	103.886; 	-10.594; 	54.954; 	 0.991; 
4,72; 	 0.000; 	-6.280; 	99.679; 	 8.771; 	103.886; 	-9.985; 	55.868; 	 0.152; 
4,76; 	 0.000; 	-6.541; 	100.316; 	 9.210; 	103.886; 	-8.460; 	56.173; 	 0.381; 
4,8; 	 0.000; 	-7.114; 	100.688; 	 8.771; 	103.886; 	-7.851; 	58.003; 	 2.134; 
4,84; 	 0.000; 	-6.906; 	102.440; 	 9.210; 	104.496; 	-6.326; 	57.393; 	 3.049; 
4,88; 	 0.000; 	-6.384; 	103.077; 	 8.221; 	104.344; 	-6.326; 	58.917; 	 3.049; 
4,92; 	 0.000; 	-6.906; 	103.077; 	 9.210; 	104.191; 	-3.582; 	59.527; 	 4.649; 
4,96; 	 0.000; 	-6.906; 	104.564; 	 8.991; 	104.039; 	-2.439; 	61.966; 	 5.335; 
5; 	 0.000; 	-5.654; 	105.732; 	 8.771; 	103.581; 	-0.915; 	61.356; 	 7.317; 
5,04; 	 0.000; 	-7.114; 	106.051; 	 9.870; 	104.344; 	 0.457; 	64.710; 	 7.165; 
5,08; 	 0.000; 	-7.114; 	106.369; 	 9.650; 	104.191; 	 2.287; 	65.167; 	 9.451; 
5,12; 	 0.000; 	-6.906; 	107.325; 	 9.870; 	104.648; 	 1.220; 	64.252; 	 8.384; 
