16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 0 ms.;
Samples before = 0 smpl.;  Samples after = 8192 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

3,88; 	 0.000; 	-4.402; 	46.798; 	 5.749; 	107.392; 	15.701; 	53.963; 	19.512; 
3,92; 	 0.000; 	-5.028; 	46.798; 	 6.408; 	106.935; 	15.091; 	53.810; 	14.482; 
3,96; 	 0.000; 	-3.568; 	48.603; 	 5.419; 	105.258; 	12.729; 	52.439; 	16.539; 
4; 	 0.000; 	-4.820; 	48.072; 	 5.969; 	106.478; 	13.872; 	53.810; 	15.320; 
4,04; 	 0.000; 	-3.777; 	49.240; 	 4.870; 	105.258; 	12.195; 	49.695; 	12.500; 
4,08; 	 0.000; 	-3.359; 	49.877; 	 5.089; 	106.173; 	12.195; 	49.847; 	14.024; 
4,12; 	 0.000; 	-4.194; 	50.620; 	 5.309; 	105.411; 	10.671; 	48.932; 	14.939; 
4,16; 	 0.000; 	-3.568; 	51.576; 	 4.430; 	104.191; 	 9.451; 	47.103; 	13.110; 
4,2; 	 0.000; 	-3.568; 	51.895; 	 5.199; 	104.953; 	 8.079; 	47.865; 	12.043; 
4,24; 	 0.000; 	-2.629; 	52.426; 	 5.639; 	105.563; 	 8.079; 	47.256; 	11.204; 
4,28; 	 0.000; 	-3.672; 	52.957; 	 4.485; 	105.106; 	 7.012; 	45.122; 	11.661; 
4,32; 	 0.000; 	-3.568; 	53.275; 	 5.089; 	105.868; 	 6.250; 	45.731; 	 8.460; 
4,36; 	 0.000; 	-3.046; 	54.231; 	 5.089; 	105.411; 	 6.098; 	43.292; 	11.280; 
4,4; 	 0.000; 	-3.359; 	54.019; 	 4.046; 	105.106; 	 4.573; 	43.292; 	 9.146; 
4,44; 	 0.000; 	-3.985; 	54.231; 	 5.639; 	105.258; 	 3.201; 	41.768; 	 7.774; 
4,48; 	 0.000; 	-4.089; 	55.187; 	 5.309; 	104.191; 	 2.744; 	42.683; 	 5.793; 
4,52; 	 0.000; 	-4.298; 	55.664; 	 4.980; 	106.325; 	 2.439; 	41.311; 	 7.317; 
4,56; 	 0.000; 	-3.777; 	56.514; 	 4.870; 	105.868; 	 1.372; 	40.701; 	 4.573; 
4,6; 	 0.000; 	-3.672; 	56.620; 	 4.595; 	105.563; 	-0.152; 	38.109; 	 6.021; 
4,64; 	 0.000; 	-4.089; 	57.045; 	 3.661; 	105.258; 	-1.982; 	37.195; 	 3.582; 
4,68; 	 0.000; 	-3.777; 	57.576; 	 4.650; 	105.715; 	-2.744; 	38.567; 	 3.659; 
4,72; 	 0.000; 	-4.089; 	58.213; 	 5.089; 	106.020; 	-3.049; 	37.957; 	 1.296; 
4,76; 	 0.000; 	-4.089; 	58.107; 	 6.298; 	105.868; 	-4.497; 	33.917; 	 1.220; 
4,8; 	 0.000; 	-4.402; 	58.850; 	 5.089; 	105.411; 	-6.021; 	34.070; 	 1.905; 
4,84; 	 0.000; 	-3.881; 	59.381; 	 4.760; 	104.648; 	-8.155; 	34.070; 	-1.296; 
4,88; 	 0.000; 	-3.881; 	60.443; 	 4.980; 	104.953; 	-8.308; 	33.308; 	-2.591; 
4,92; 	 0.000; 	-4.194; 	60.761; 	 4.650; 	104.801; 	-11.814; 	30.259; 	-4.192; 
4,96; 	 0.000; 	-4.820; 	60.549; 	 5.309; 	105.715; 	-9.985; 	29.497; 	-2.439; 
5; 	 0.000; 	-3.985; 	61.823; 	 4.870; 	104.496; 	-12.729; 	28.582; 	-5.259; 
5,04; 	 0.000; 	-4.402; 	61.983; 	 6.188; 	106.325; 	-13.033; 	30.411; 	-5.716; 
5,08; 	 0.000; 	-4.402; 	63.416; 	 5.749; 	105.715; 	-13.186; 	26.753; 	-4.421; 
5,12; 	 0.000; 	-4.820; 	62.673; 	 5.529; 	106.325; 	-14.558; 	27.058; 	-6.555; 
5,16; 	 0.000; 	-4.820; 	62.885; 	 6.628; 	106.325; 	-15.320; 	27.210; 	-6.860; 
5,2; 	 0.000; 	-5.028; 	62.673; 	 6.628; 	106.325; 	-17.454; 	26.143; 	-7.774; 
5,24; 	 0.000; 	-4.402; 	64.903; 	 5.199; 	105.411; 	-18.521; 	23.856; 	-10.518; 
5,28; 	 0.000; 	-4.924; 	65.434; 	 5.089; 	104.801; 	-20.350; 	24.924; 	-8.689; 
5,32; 	 0.000; 	-4.924; 	65.434; 	 5.529; 	105.106; 	-20.960; 	22.180; 	-9.375; 
5,36; 	 0.000; 	-4.507; 	65.965; 	 5.639; 	104.648; 	-20.503; 	22.942; 	-10.747; 
5,4; 	 0.000; 	-4.611; 	66.177; 	 5.749; 	104.496; 	-22.637; 	20.960; 	-12.271; 
5,44; 	 0.000; 	-4.715; 	66.602; 	 5.749; 	105.258; 	-23.018; 	20.198; 	-10.442; 
5,48; 	 0.000; 	-4.715; 	68.195; 	 4.650; 	103.886; 	-24.238; 	16.997; 	-12.119; 
5,52; 	 0.000; 	-4.194; 	67.770; 	 5.749; 	105.106; 	-25.152; 	16.692; 	-13.643; 
5,56; 	 0.000; 	-4.402; 	69.841; 	 4.210; 	105.258; 	-26.067; 	16.539; 	-15.472; 
5,6; 	 0.000; 	-4.924; 	69.734; 	 4.760; 	105.868; 	-26.219; 	16.692; 	-14.405; 
5,64; 	 0.000; 	-4.194; 	69.203; 	 5.529; 	106.173; 	-27.286; 	16.844; 	-14.863; 
5,68; 	 0.000; 	-4.611; 	70.265; 	 5.089; 	105.411; 	-28.049; 	15.168; 	-16.082; 
5,72; 	 0.000; 	-4.402; 	70.053; 	 5.089; 	105.106; 	-28.506; 	15.320; 	-15.701; 
5,76; 	 0.000; 	-3.777; 	71.115; 	 4.650; 	105.106; 	-28.811; 	14.939; 	-15.472; 
5,8; 	 0.000; 	-4.924; 	71.327; 	 5.309; 	106.325; 	-28.658; 	14.939; 	-15.472; 
5,84; 	 0.000; 	-5.237; 	72.124; 	 5.309; 	105.411; 	-29.420; 	15.244; 	-16.082; 
5,88; 	 0.000; 	-5.445; 	72.601; 	 5.309; 	105.411; 	-30.030; 	13.415; 	-16.082; 
5,92; 	 0.000; 	-5.445; 	72.389; 	 6.078; 	106.630; 	-30.030; 	14.024; 	-15.777; 
5,96; 	 0.000; 	-5.132; 	73.239; 	 5.639; 	105.868; 	-30.183; 	12.652; 	-16.387; 
6; 	 0.000; 	-4.715; 	73.982; 	 5.529; 	105.411; 	-30.945; 	13.415; 	-16.082; 
6,04; 	 0.000; 	-5.028; 	73.451; 	 5.529; 	106.325; 	-30.335; 	12.195; 	-16.997; 
6,08; 	 0.000; 	-4.820; 	74.407; 	 5.199; 	105.563; 	-31.097; 	13.262; 	-16.235; 
6,12; 	 0.000; 	-5.237; 	75.256; 	 5.969; 	105.715; 	-31.250; 	11.890; 	-17.225; 
6,16; 	 0.000; 	-5.445; 	75.362; 	 5.969; 	106.325; 	-30.030; 	13.415; 	-16.921; 
6,2; 	 0.000; 	-5.758; 	75.787; 	 5.859; 	106.325; 	-30.335; 	12.805; 	-16.387; 
6,24; 	 0.000; 	-5.341; 	77.167; 	 5.199; 	105.258; 	-31.097; 	12.347; 	-17.835; 
6,28; 	 0.000; 	-5.341; 	76.743; 	 6.078; 	106.783; 	-30.411; 	12.652; 	-16.235; 
6,32; 	 0.000; 	-5.654; 	77.380; 	 5.969; 	106.325; 	-30.335; 	12.805; 	-16.692; 
6,36; 	 0.000; 	-5.445; 	77.061; 	 5.969; 	106.630; 	-29.725; 	13.110; 	-16.692; 
6,4; 	 0.000; 	-5.445; 	77.911; 	 5.969; 	106.020; 	-30.335; 	12.500; 	-16.768; 
6,44; 	 0.000; 	-4.715; 	78.973; 	 5.529; 	105.715; 	-30.335; 	12.957; 	-16.616; 
6,48; 	 0.000; 	-5.237; 	78.973; 	 6.078; 	105.563; 	-29.573; 	12.805; 	-16.768; 
6,52; 	 0.000; 	-5.863; 	79.397; 	 6.408; 	105.715; 	-28.658; 	13.872; 	-15.091; 
6,56; 	 0.000; 	-5.863; 	79.822; 	 6.408; 	106.325; 	-28.506; 	14.329; 	-15.168; 
6,6; 	 0.000; 	-5.654; 	80.778; 	 5.749; 	105.715; 	-28.811; 	13.415; 	-15.396; 
6,64; 	 0.000; 	-5.602; 	81.203; 	 5.639; 	105.715; 	-28.201; 	14.177; 	-15.015; 
6,68; 	 0.000; 	-6.176; 	81.309; 	 5.859; 	105.715; 	-27.591; 	13.719; 	-13.338; 
6,72; 	 0.000; 	-5.758; 	81.840; 	 6.298; 	105.868; 	-25.914; 	16.006; 	-12.119; 
6,76; 	 0.000; 	-5.758; 	81.999; 	 5.419; 	106.325; 	-25.610; 	13.567; 	-13.110; 
6,8; 	 0.000; 	-6.071; 	82.636; 	 5.969; 	106.325; 	-24.847; 	16.387; 	-13.262; 
6,84; 	 0.000; 	-5.654; 	83.910; 	 4.650; 	105.411; 	-25.305; 	15.168; 	-14.558; 
