16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

6,28; 	 0.000; 	-0.647; 	-2.261; 	 1.134; 	104.191; 	13.110; 	11.890; 	12.576; 
6,32; 	 0.000; 	-0.439; 	-2.686; 	 1.573; 	104.648; 	11.890; 	12.195; 	10.976; 
6,36; 	 0.000; 	-0.700; 	-3.323; 	 1.353; 	104.039; 	10.671; 	11.280; 	11.966; 
6,4; 	 0.000; 	-0.230; 	-2.898; 	 1.134; 	104.496; 	 9.451; 	11.128; 	10.061; 
6,44; 	 0.000; 	-0.856; 	-4.810; 	 2.123; 	105.411; 	 9.756; 	10.671; 	12.424; 
6,48; 	 0.000; 	-0.282; 	-2.898; 	 0.914; 	104.801; 	 8.841; 	 8.841; 	10.137; 
6,52; 	 0.000; 	 0.709; 	-2.474; 	 0.529; 	103.581; 	 7.317; 	 6.250; 	 9.146; 
6,56; 	 0.000; 	-0.752; 	-3.217; 	 2.342; 	105.258; 	 7.165; 	 7.165; 	 8.841; 
6,6; 	 0.000; 	-0.439; 	-3.111; 	 1.573; 	104.572; 	 7.012; 	 7.622; 	 7.165; 
6,64; 	 0.000; 	-1.586; 	-2.898; 	 1.573; 	105.411; 	 5.488; 	 8.994; 	 6.326; 
6,68; 	 0.000; 	-0.439; 	-2.686; 	-0.625; 	104.801; 	 3.201; 	 3.659; 	 5.259; 
6,72; 	 0.000; 	-0.752; 	-2.792; 	 1.353; 	104.648; 	 1.220; 	 3.811; 	 4.421; 
6,76; 	 0.000; 	-0.752; 	-3.748; 	 1.353; 	103.886; 	 1.601; 	 2.744; 	 3.354; 
6,8; 	 0.000; 	-0.752; 	-3.004; 	 1.243; 	104.953; 	 1.372; 	 2.591; 	 3.049; 
6,84; 	 0.000; 	-0.439; 	-2.898; 	 1.463; 	104.801; 	-1.220; 	 0.152; 	 2.134; 
6,88; 	 0.000; 	-0.856; 	-5.022; 	 2.232; 	104.801; 	-0.610; 	 1.220; 	 2.591; 
6,92; 	 0.000; 	-0.752; 	-3.217; 	 1.903; 	105.563; 	-2.134; 	-0.457; 	-0.305; 
6,96; 	 0.000; 	-0.439; 	-3.111; 	 1.573; 	105.106; 	-3.963; 	-0.610; 	-1.143; 
7; 	 0.000; 	-0.960; 	-2.898; 	 1.353; 	104.496; 	-4.649; 	-2.134; 	-0.991; 
7,04; 	 0.000; 	-0.752; 	-2.792; 	 1.518; 	104.801; 	-6.021; 	-2.515; 	-2.287; 
7,08; 	 0.000; 	-1.586; 	-3.429; 	 1.683; 	104.953; 	-6.631; 	-4.954; 	-2.591; 
