16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

7,48; 	 0.000; 	-7.949; 	80.035; 	 1.793; 	105.715; 	-29.420; 	25.228; 	-16.082; 
7,52; 	 0.000; 	-7.114; 	80.778; 	 0.804; 	105.106; 	-30.183; 	24.161; 	-18.293; 
7,56; 	 0.000; 	-7.323; 	81.521; 	 1.463; 	104.496; 	-30.640; 	24.161; 	-18.369; 
7,6; 	 0.000; 	-8.366; 	82.689; 	 0.584; 	105.258; 	-30.183; 	23.552; 	-16.539; 
7,64; 	 0.000; 	-7.219; 	82.955; 	 0.474; 	105.106; 	-30.030; 	22.789; 	-17.302; 
7,68; 	 0.000; 	-8.157; 	84.441; 	 0.254; 	105.106; 	-30.792; 	23.704; 	-17.911; 
7,72; 	 0.000; 	-8.157; 	84.229; 	 1.134; 	106.173; 	-28.658; 	23.094; 	-16.921; 
7,76; 	 0.000; 	-7.740; 	85.397; 	 0.035; 	104.648; 	-30.792; 	25.381; 	-17.149; 
7,8; 	 0.000; 	-8.157; 	85.397; 	 0.584; 	104.953; 	-28.658; 	24.847; 	-17.454; 
7,84; 	 0.000; 	-7.740; 	86.247; 	-0.515; 	104.344; 	-29.878; 	25.076; 	-16.082; 
7,88; 	 0.000; 	-8.157; 	86.565; 	 1.134; 	106.020; 	-27.896; 	23.094; 	-16.082; 
7,92; 	 0.000; 	-8.262; 	87.733; 	 0.584; 	104.953; 	-29.878; 	25.686; 	-16.082; 
7,96; 	 0.000; 	-8.366; 	85.822; 	 1.353; 	105.106; 	-27.896; 	24.619; 	-14.863; 
8; 	 0.000; 	-8.262; 	89.432; 	 0.145; 	103.734; 	-29.268; 	24.466; 	-17.149; 
8,04; 	 0.000; 	-8.992; 	89.538; 	 0.694; 	105.411; 	-26.829; 	25.228; 	-15.777; 
8,08; 	 0.000; 	-8.574; 	90.388; 	 0.694; 	105.106; 	-26.677; 	25.991; 	-14.863; 
8,12; 	 0.000; 	-9.096; 	90.388; 	 0.474; 	105.715; 	-25.610; 	27.210; 	-14.253; 
8,16; 	 0.000; 	-8.574; 	90.600; 	 0.914; 	105.715; 	-24.847; 	26.753; 	-12.424; 
8,2; 	 0.000; 	-8.366; 	91.875; 	 0.694; 	105.106; 	-24.695; 	28.277; 	-14.939; 
8,24; 	 0.000; 	-8.574; 	91.981; 	 1.134; 	105.715; 	-22.713; 	27.515; 	-13.262; 
8,28; 	 0.000; 	-9.096; 	92.830; 	 0.804; 	106.173; 	-21.875; 	29.954; 	-12.500; 
8,32; 	 0.000; 	-9.096; 	93.255; 	 1.243; 	106.173; 	-20.655; 	29.649; 	-12.500; 
8,36; 	 0.000; 	-9.513; 	93.680; 	 1.243; 	106.630; 	-20.046; 	31.021; 	-9.222; 
8,4; 	 0.000; 	-9.200; 	93.574; 	 1.243; 	105.868; 	-19.893; 	31.021; 	-9.527; 
8,44; 	 0.000; 	-9.618; 	94.848; 	 1.353; 	105.715; 	-19.131; 	30.411; 	-10.823; 
8,48; 	 0.000; 	-8.940; 	95.326; 	 4.100; 	105.563; 	-16.844; 	31.783; 	-7.927; 
8,52; 	 0.000; 	-9.409; 	96.494; 	 3.331; 	105.563; 	-16.387; 	31.936; 	-8.689; 
8,56; 	 0.000; 	-9.409; 	96.706; 	 3.606; 	105.715; 	-15.930; 	34.070; 	-8.384; 
8,6; 	 0.000; 	-9.513; 	97.874; 	 3.661; 	104.953; 	-15.320; 	35.289; 	-7.622; 
8,64; 	 0.000; 	-9.826; 	98.193; 	 4.430; 	105.106; 	-13.643; 	35.594; 	-4.802; 
8,68; 	 0.000; 	-9.722; 	99.042; 	 3.112; 	104.953; 	-13.033; 	34.984; 	-5.793; 
