16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

6,24; 	 0.000; 	 4.411; 	-63.956; 	 0.804; 	103.734; 	-13.186; 	-56.021; 	-11.814; 
6,28; 	 0.000; 	 4.829; 	-65.231; 	 0.804; 	103.048; 	-13.186; 	-58.307; 	-14.253; 
6,32; 	 0.000; 	 4.724; 	-65.337; 	 0.474; 	102.362; 	-14.558; 	-57.698; 	-13.567; 
6,36; 	 0.000; 	 5.350; 	-65.974; 	 0.254; 	102.667; 	-16.997; 	-59.222; 	-16.387; 
6,4; 	 0.000; 	 4.724; 	-66.080; 	-0.185; 	102.209; 	-18.216; 	-59.374; 	-16.158; 
6,44; 	 0.000; 	 5.037; 	-67.301; 	-0.515; 	104.648; 	-18.369; 	-59.984; 	-16.235; 
6,48; 	 0.000; 	 4.933; 	-67.832; 	-1.064; 	103.124; 	-21.417; 	-61.966; 	-17.835; 
6,52; 	 0.000; 	 5.350; 	-68.894; 	-0.075; 	104.801; 	-20.350; 	-61.051; 	-17.607; 
6,56; 	 0.000; 	 5.141; 	-68.894; 	-1.284; 	103.581; 	-21.875; 	-63.414; 	-17.530; 
6,6; 	 0.000; 	 4.724; 	-71.071; 	-0.185; 	105.106; 	-20.655; 	-61.890; 	-16.387; 
6,64; 	 0.000; 	 4.672; 	-71.655; 	 0.035; 	105.715; 	-22.408; 	-64.329; 	-16.539; 
6,68; 	 0.000; 	 4.724; 	-72.292; 	 0.254; 	105.715; 	-22.713; 	-63.719; 	-16.997; 
6,72; 	 0.000; 	 4.933; 	-72.504; 	-0.185; 	105.411; 	-24.238; 	-65.243; 	-17.225; 
6,76; 	 0.000; 	 4.829; 	-73.248; 	 0.145; 	105.868; 	-25.000; 	-65.396; 	-19.817; 
6,8; 	 0.000; 	 5.037; 	-73.885; 	-0.405; 	104.648; 	-26.219; 	-66.310; 	-19.741; 
6,84; 	 0.000; 	 5.141; 	-74.841; 	-0.185; 	104.801; 	-26.677; 	-65.396; 	-20.046; 
6,88; 	 0.000; 	 4.933; 	-75.796; 	-0.075; 	105.258; 	-26.829; 	-66.920; 	-20.808; 
6,92; 	 0.000; 	 5.454; 	-75.690; 	-0.625; 	104.191; 	-27.591; 	-66.158; 	-20.655; 
6,96; 	 0.000; 	 4.933; 	-76.964; 	 0.035; 	105.411; 	-27.591; 	-66.768; 	-21.799; 
7; 	 0.000; 	 5.454; 	-76.858; 	-0.075; 	105.106; 	-28.353; 	-66.615; 	-21.417; 
7,04; 	 0.000; 	 5.089; 	-77.920; 	-0.625; 	104.191; 	-30.335; 	-67.682; 	-22.332; 
7,08; 	 0.000; 	 5.350; 	-78.345; 	-0.515; 	104.648; 	-29.878; 	-67.225; 	-23.171; 
7,12; 	 0.000; 	 5.037; 	-79.301; 	-0.130; 	104.496; 	-29.725; 	-67.377; 	-22.332; 
7,16; 	 0.000; 	 4.933; 	-80.362; 	 0.254; 	106.020; 	-30.183; 	-67.377; 	-22.561; 
7,2; 	 0.000; 	 5.141; 	-81.053; 	 0.145; 	104.801; 	-30.640; 	-67.377; 	-22.332; 
7,24; 	 0.000; 	 5.141; 	-81.584; 	-0.185; 	104.801; 	-30.488; 	-68.597; 	-23.018; 
7,28; 	 0.000; 	 5.246; 	-82.221; 	-0.405; 	104.496; 	-30.335; 	-67.682; 	-22.485; 
7,32; 	 0.000; 	 5.976; 	-82.221; 	-0.625; 	103.886; 	-31.555; 	-69.207; 	-24.085; 
7,36; 	 0.000; 	 5.350; 	-83.176; 	 0.914; 	105.106; 	-30.488; 	-65.548; 	-22.332; 
7,4; 	 0.000; 	 5.141; 	-84.132; 	 0.474; 	105.182; 	-31.250; 	-68.749; 	-23.628; 
7,44; 	 0.000; 	 5.037; 	-84.451; 	 0.584; 	105.334; 	-30.792; 	-67.377; 	-22.256; 
7,48; 	 0.000; 	 5.350; 	-85.513; 	-0.350; 	104.496; 	-31.402; 	-68.444; 	-23.628; 
7,52; 	 0.000; 	 5.559; 	-86.043; 	 0.364; 	105.106; 	-30.335; 	-67.377; 	-22.180; 
7,56; 	 0.000; 	 6.393; 	-85.884; 	-0.844; 	103.886; 	-31.707; 	-68.902; 	-23.552; 
7,6; 	 0.000; 	 5.559; 	-87.105; 	 0.035; 	104.801; 	-31.250; 	-66.768; 	-23.018; 
7,64; 	 0.000; 	 6.080; 	-87.530; 	-0.075; 	104.039; 	-30.792; 	-67.530; 	-22.789; 
7,68; 	 0.000; 	 5.559; 	-88.911; 	 0.090; 	104.648; 	-29.420; 	-67.073; 	-22.027; 
7,72; 	 0.000; 	 5.663; 	-89.123; 	 0.035; 	104.344; 	-29.573; 	-66.463; 	-21.951; 
7,76; 	 0.000; 	 6.185; 	-89.335; 	 0.035; 	104.496; 	-30.335; 	-66.768; 	-21.875; 
7,8; 	 0.000; 	 6.497; 	-89.335; 	-0.405; 	104.039; 	-29.573; 	-66.310; 	-22.485; 
7,84; 	 0.000; 	 5.976; 	-90.503; 	-0.075; 	104.801; 	-28.506; 	-64.938; 	-20.960; 
7,88; 	 0.000; 	 6.602; 	-91.034; 	-0.735; 	104.344; 	-28.353; 	-65.701; 	-20.732; 
7,92; 	 0.000; 	 6.915; 	-91.034; 	-1.064; 	103.734; 	-27.439; 	-64.176; 	-21.113; 
7,96; 	 0.000; 	 6.393; 	-92.415; 	-0.185; 	104.496; 	-26.067; 	-64.634; 	-20.960; 
8; 	 0.000; 	 6.810; 	-92.521; 	-0.844; 	103.276; 	-26.067; 	-62.499; 	-19.360; 
8,04; 	 0.000; 	 6.602; 	-93.264; 	-0.735; 	103.810; 	-26.219; 	-62.957; 	-18.978; 
