16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

6; 	 0.000; 	-0.230; 	-2.474; 	 0.584; 	104.039; 	 7.927; 	 7.774; 	 7.393; 
6,04; 	 0.000; 	-0.439; 	-3.217; 	 1.463; 	104.191; 	 9.604; 	 9.756; 	10.213; 
6,08; 	 0.000; 	 0.187; 	-2.898; 	 1.353; 	104.496; 	10.366; 	11.128; 	10.061; 
6,12; 	 0.000; 	-0.856; 	-3.323; 	 2.232; 	105.411; 	11.128; 	11.280; 	11.966; 
6,16; 	 0.000; 	-0.647; 	-3.004; 	 1.353; 	104.496; 	10.671; 	10.518; 	11.585; 
6,2; 	 0.000; 	-0.334; 	-2.792; 	 1.463; 	105.258; 	12.347; 	11.433; 	12.957; 
6,24; 	 0.000; 	-0.647; 	-2.898; 	 1.353; 	104.496; 	12.805; 	11.585; 	13.415; 
6,28; 	 0.000; 	 0.083; 	-2.792; 	 0.694; 	103.886; 	12.957; 	12.805; 	13.338; 
6,32; 	 0.000; 	-0.543; 	-3.642; 	 1.134; 	104.496; 	14.177; 	13.567; 	14.482; 
6,36; 	 0.000; 	-0.439; 	-3.111; 	 1.134; 	103.581; 	14.482; 	13.415; 	14.786; 
6,4; 	 0.000; 	-0.647; 	-3.111; 	 1.573; 	104.801; 	16.082; 	15.777; 	14.482; 
6,44; 	 0.000; 	-0.282; 	-2.474; 	 0.914; 	104.496; 	15.625; 	13.719; 	15.244; 
6,48; 	 0.000; 	-1.690; 	-4.066; 	 2.562; 	106.173; 	18.674; 	17.149; 	16.844; 
6,52; 	 0.000; 	-0.752; 	-2.474; 	 1.024; 	104.344; 	17.607; 	14.482; 	14.786; 
6,56; 	 0.000; 	-0.647; 	-2.898; 	 1.683; 	104.953; 	17.302; 	16.082; 	16.692; 
6,6; 	 0.000; 	-1.117; 	-3.429; 	 1.353; 	104.801; 	17.607; 	14.939; 	16.768; 
6,64; 	 0.000; 	-1.273; 	-3.960; 	 2.013; 	105.715; 	19.436; 	17.149; 	19.512; 
6,68; 	 0.000; 	-1.273; 	-3.535; 	 1.793; 	105.106; 	18.826; 	15.472; 	17.302; 
6,72; 	 0.000; 	-2.473; 	-2.792; 	 1.463; 	104.953; 	18.978; 	16.539; 	16.311; 
6,76; 	 0.000; 	-1.169; 	-3.323; 	 0.804; 	105.258; 	18.826; 	17.302; 	17.835; 
6,8; 	 0.000; 	-1.690; 	-3.323; 	 1.793; 	105.411; 	19.436; 	17.302; 	17.911; 
6,84; 	 0.000; 	-1.586; 	-3.004; 	 1.903; 	105.411; 	18.521; 	15.777; 	17.149; 
6,88; 	 0.000; 	-1.378; 	-3.004; 	 1.793; 	105.258; 	18.369; 	15.930; 	18.064; 
6,92; 	 0.000; 	-1.273; 	-3.004; 	 1.573; 	104.801; 	16.692; 	16.692; 	17.911; 
6,96; 	 0.000; 	-1.273; 	-3.111; 	 1.793; 	105.411; 	19.741; 	14.939; 	18.597; 
7; 	 0.000; 	-1.482; 	-3.642; 	 1.793; 	105.411; 	19.131; 	16.997; 	18.521; 
7,04; 	 0.000; 	-1.690; 	-3.535; 	 1.793; 	105.106; 	17.911; 	17.911; 	17.911; 
7,08; 	 0.000; 	-1.586; 	-3.111; 	 1.134; 	104.039; 	17.302; 	14.786; 	16.692; 
7,12; 	 0.000; 	-1.899; 	-4.066; 	 2.452; 	106.020; 	19.436; 	16.158; 	18.826; 
7,16; 	 0.000; 	-2.003; 	-3.854; 	 2.342; 	106.173; 	18.826; 	15.091; 	18.978; 
7,2; 	 0.000; 	-2.108; 	-4.173; 	 3.002; 	107.087; 	18.826; 	19.283; 	18.369; 
7,24; 	 0.000; 	-1.482; 	-2.898; 	 1.683; 	104.801; 	16.082; 	14.786; 	16.692; 
7,28; 	 0.000; 	-2.629; 	-3.854; 	 2.782; 	106.325; 	17.454; 	16.006; 	16.844; 
7,32; 	 0.000; 	-1.482; 	-3.748; 	 3.331; 	106.325; 	17.759; 	13.719; 	17.073; 
7,36; 	 0.000; 	-1.638; 	-4.066; 	 2.562; 	106.478; 	16.921; 	16.921; 	18.978; 
7,4; 	 0.000; 	-1.482; 	-3.323; 	 1.793; 	105.411; 	14.939; 	14.634; 	15.701; 
7,44; 	 0.000; 	-0.752; 	-2.792; 	 1.353; 	104.344; 	13.262; 	13.567; 	14.558; 
7,48; 	 0.000; 	-1.273; 	-2.792; 	 1.353; 	104.496; 	12.500; 	12.043; 	13.338; 
7,52; 	 0.000; 	-0.856; 	-3.429; 	 1.683; 	105.106; 	13.262; 	12.043; 	12.043; 
7,56; 	 0.000; 	-0.647; 	-2.261; 	 1.134; 	104.191; 	11.280; 	10.976; 	13.186; 
7,6; 	 0.000; 	-0.439; 	-2.580; 	 0.694; 	104.344; 	10.671; 	10.366; 	12.576; 
7,64; 	 0.000; 	-0.752; 	-2.367; 	 1.024; 	104.953; 	11.128; 	10.671; 	10.213; 
7,68; 	 0.000; 	-1.378; 	-3.111; 	 1.573; 	104.648; 	10.061; 	 9.756; 	10.671; 
7,72; 	 0.000; 	-0.439; 	-2.686; 	 1.134; 	104.191; 	 8.384; 	 8.232; 	 8.613; 
7,76; 	 0.000; 	-0.647; 	-2.686; 	 1.353; 	104.496; 	 7.927; 	 7.927; 	 8.308; 
7,8; 	 0.000; 	-1.065; 	-2.686; 	 1.463; 	105.106; 	 6.402; 	 6.555; 	 7.088; 
7,84; 	 0.000; 	-0.700; 	-2.686; 	 1.573; 	105.106; 	 6.707; 	 7.622; 	 7.927; 
7,88; 	 0.000; 	-0.856; 	-3.111; 	 0.694; 	105.106; 	 5.488; 	 5.335; 	 7.012; 
7,92; 	 0.000; 	-1.065; 	-2.951; 	 1.353; 	104.496; 	 2.896; 	 5.488; 	 5.564; 
7,96; 	 0.000; 	-0.960; 	-2.792; 	 1.463; 	104.648; 	 2.744; 	 3.201; 	 3.811; 
8; 	 0.000; 	-0.543; 	-2.686; 	 2.232; 	104.648; 	 2.744; 	 3.963; 	 5.259; 
