16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

5,28; 	 0.000; 	-0.856; 	-3.748; 	 1.573; 	104.496; 	-31.783; 	-23.933; 	-21.494; 
5,32; 	 0.000; 	-1.586; 	-3.323; 	 1.573; 	104.496; 	-31.859; 	-21.875; 	-19.664; 
5,36; 	 0.000; 	-1.586; 	-3.217; 	 2.013; 	104.801; 	-31.555; 	-22.027; 	-20.046; 
5,4; 	 0.000; 	-1.482; 	-3.535; 	 2.232; 	105.106; 	-30.945; 	-21.570; 	-20.046; 
5,44; 	 0.000; 	-1.273; 	-3.429; 	 1.573; 	104.191; 	-32.469; 	-22.180; 	-20.350; 
5,48; 	 0.000; 	-0.856; 	-3.429; 	 1.573; 	104.039; 	-32.774; 	-23.399; 	-20.655; 
5,52; 	 0.000; 	-1.482; 	-3.323; 	 1.793; 	104.496; 	-31.250; 	-21.570; 	-18.521; 
5,56; 	 0.000; 	-1.117; 	-3.642; 	 1.134; 	103.581; 	-31.250; 	-22.713; 	-20.655; 
5,6; 	 0.000; 	-0.960; 	-3.429; 	 1.683; 	104.344; 	-30.183; 	-22.332; 	-19.588; 
5,64; 	 0.000; 	-1.534; 	-3.429; 	 1.463; 	104.191; 	-30.030; 	-20.960; 	-19.664; 
5,68; 	 0.000; 	-1.586; 	-3.217; 	 2.342; 	104.648; 	-28.353; 	-19.283; 	-17.759; 
5,72; 	 0.000; 	-1.169; 	-3.217; 	 1.683; 	104.648; 	-28.658; 	-19.283; 	-17.149; 
5,76; 	 0.000; 	-1.065; 	-3.323; 	 2.013; 	105.411; 	-28.658; 	-19.131; 	-16.539; 
5,8; 	 0.000; 	-1.273; 	-3.748; 	 2.013; 	104.801; 	-27.591; 	-19.360; 	-17.530; 
5,84; 	 0.000; 	-1.482; 	-3.960; 	 2.232; 	105.258; 	-26.524; 	-18.674; 	-16.921; 
5,88; 	 0.000; 	-1.065; 	-3.748; 	 1.793; 	104.496; 	-25.762; 	-16.997; 	-15.777; 
5,92; 	 0.000; 	-0.960; 	-3.748; 	 1.463; 	104.344; 	-25.914; 	-18.064; 	-16.235; 
5,96; 	 0.000; 	-0.647; 	-3.642; 	 1.463; 	104.344; 	-24.542; 	-16.539; 	-15.701; 
6; 	 0.000; 	-0.856; 	-4.173; 	 2.452; 	105.411; 	-23.018; 	-16.082; 	-13.643; 
6,04; 	 0.000; 	-1.065; 	-3.535; 	 1.793; 	104.801; 	-22.180; 	-14.710; 	-13.948; 
6,08; 	 0.000; 	-0.543; 	-3.217; 	 1.463; 	104.648; 	-22.027; 	-14.100; 	-14.558; 
6,12; 	 0.000; 	-1.169; 	-3.376; 	 1.793; 	104.801; 	-20.655; 	-13.338; 	-12.729; 
6,16; 	 0.000; 	-0.960; 	-3.535; 	 1.793; 	104.496; 	-20.046; 	-12.119; 	-12.347; 
6,2; 	 0.000; 	-1.065; 	-4.173; 	 2.013; 	105.106; 	-17.607; 	-11.661; 	-10.290; 
6,24; 	 0.000; 	-1.117; 	-4.173; 	 2.123; 	105.106; 	-17.911; 	-9.985; 	-8.155; 
6,28; 	 0.000; 	-1.169; 	-3.960; 	 1.573; 	104.496; 	-16.082; 	-11.204; 	-9.985; 
6,32; 	 0.000; 	-0.960; 	-3.854; 	 2.123; 	104.953; 	-15.930; 	-10.442; 	-8.537; 
6,36; 	 0.000; 	-1.169; 	-3.960; 	 2.123; 	104.953; 	-14.100; 	-7.393; 	-7.393; 
6,4; 	 0.000; 	-0.960; 	-3.642; 	 2.123; 	105.258; 	-12.576; 	-7.393; 	-5.564; 
6,44; 	 0.000; 	-0.647; 	-3.323; 	 1.848; 	104.648; 	-13.567; 	-8.155; 	-5.716; 
