16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

5,32; 	 0.000; 	-3.151; 	72.495; 	 3.112; 	106.173; 	 6.555; 	90.396; 	11.128; 
5,36; 	 0.000; 	-3.568; 	73.557; 	 3.112; 	106.783; 	 4.573; 	88.414; 	10.061; 
5,4; 	 0.000; 	-3.985; 	74.407; 	 3.991; 	106.630; 	 3.659; 	88.414; 	 9.756; 
5,44; 	 0.000; 	-4.402; 	74.725; 	 4.650; 	107.545; 	 3.659; 	86.737; 	 9.146; 
5,48; 	 0.000; 	-3.985; 	76.637; 	 4.430; 	106.783; 	 2.287; 	85.822; 	 7.088; 
5,52; 	 0.000; 	-3.985; 	77.486; 	 4.430; 	106.935; 	 1.220; 	85.060; 	 7.622; 
5,56; 	 0.000; 	-4.089; 	77.167; 	 4.100; 	106.478; 	 0.762; 	84.603; 	 7.012; 
5,6; 	 0.000; 	-4.194; 	79.397; 	 4.870; 	106.630; 	-0.152; 	83.841; 	 6.098; 
5,64; 	 0.000; 	-4.402; 	80.672; 	 4.430; 	106.783; 	-2.287; 	81.402; 	 4.268; 
5,68; 	 0.000; 	-4.507; 	81.203; 	 5.199; 	107.087; 	-2.820; 	80.944; 	 2.287; 
5,72; 	 0.000; 	-5.028; 	82.636; 	 4.650; 	107.697; 	-3.887; 	79.115; 	 3.049; 
5,76; 	 0.000; 	-5.028; 	83.592; 	 4.540; 	107.545; 	-4.497; 	79.725; 	 2.439; 
5,8; 	 0.000; 	-4.924; 	84.972; 	 4.650; 	107.240; 	-6.021; 	77.438; 	-0.457; 
5,84; 	 0.000; 	-4.611; 	86.034; 	 4.210; 	106.630; 	-6.936; 	76.219; 	 1.220; 
5,88; 	 0.000; 	-6.697; 	87.202; 	 4.870; 	106.935; 	-8.460; 	75.304; 	-0.229; 
5,92; 	 0.000; 	-4.820; 	88.052; 	 3.991; 	106.630; 	-9.375; 	74.161; 	-1.220; 
5,96; 	 0.000; 	-4.611; 	89.538; 	 3.991; 	106.325; 	-11.204; 	71.722; 	-2.973; 
6; 	 0.000; 	-5.132; 	90.919; 	 3.991; 	105.715; 	-12.729; 	70.198; 	-3.277; 
6,04; 	 0.000; 	-5.341; 	91.344; 	 3.771; 	106.478; 	-13.491; 	71.874; 	-4.497; 
6,08; 	 0.000; 	-5.654; 	92.299; 	 4.980; 	107.316; 	-14.253; 	71.112; 	-4.649; 
6,12; 	 0.000; 	-7.323; 	93.255; 	 4.870; 	106.783; 	-15.168; 	67.911; 	-5.945; 
6,16; 	 0.000; 	-5.863; 	94.423; 	 5.199; 	106.630; 	-16.844; 	68.978; 	-6.479; 
6,2; 	 0.000; 	-5.758; 	95.857; 	 7.067; 	105.411; 	-17.911; 	68.978; 	-6.936; 
6,24; 	 0.000; 	-6.071; 	96.706; 	 6.628; 	105.715; 	-18.521; 	65.396; 	-6.936; 
6,28; 	 0.000; 	-6.071; 	97.343; 	 8.276; 	105.563; 	-19.588; 	66.691; 	-8.460; 
6,32; 	 0.000; 	-6.280; 	98.936; 	 6.958; 	101.905; 	-15.930; 	63.948; 	-7.622; 
6,36; 	 0.000; 	-5.863; 	99.786; 	 7.287; 	105.106; 	-21.875; 	64.100; 	-10.290; 
6,4; 	 0.000; 	-6.541; 	100.741; 	 5.969; 	106.020; 	-22.103; 	63.948; 	-9.680; 
6,44; 	 0.000; 	-6.749; 	101.591; 	 7.782; 	105.868; 	-23.780; 	62.576; 	-11.128; 
6,48; 	 0.000; 	-6.593; 	103.821; 	 6.958; 	104.344; 	-24.695; 	59.984; 	-13.338; 
6,52; 	 0.000; 	-6.332; 	104.511; 	 6.243; 	105.106; 	-24.847; 	60.899; 	-12.881; 
6,56; 	 0.000; 	-6.488; 	105.307; 	 7.067; 	104.496; 	-25.610; 	58.765; 	-12.881; 
6,6; 	 0.000; 	-6.749; 	106.369; 	 7.287; 	104.801; 	-26.677; 	58.917; 	-13.948; 
6,64; 	 0.000; 	-6.488; 	107.750; 	 7.287; 	104.496; 	-27.286; 	58.612; 	-14.253; 
6,68; 	 0.000; 	-7.010; 	108.281; 	 6.958; 	104.344; 	-26.829; 	57.850; 	-14.710; 
6,72; 	 0.000; 	-7.219; 	109.926; 	 6.738; 	104.953; 	-28.049; 	57.393; 	-15.320; 
6,76; 	 0.000; 	-6.906; 	110.776; 	 6.408; 	104.496; 	-28.506; 	57.698; 	-15.168; 
