16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

7,56; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
7,6; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
7,64; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
7,68; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
7,72; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
7,76; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
7,8; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
7,84; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
7,88; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
7,92; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
7,96; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
8; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
8,04; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
8,08; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
8,12; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
8,16; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
8,2; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
8,24; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
8,28; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
