16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

5,28; 	 0.000; 	-0.647; 	15.897; 	 1.134; 	105.258; 	 2.134; 	24.619; 	 4.878; 
5,32; 	 0.000; 	-1.221; 	16.216; 	 1.243; 	104.953; 	 3.659; 	25.838; 	 4.192; 
5,36; 	 0.000; 	-1.273; 	16.109; 	 1.024; 	106.020; 	 4.573; 	27.363; 	 5.183; 
5,4; 	 0.000; 	-1.899; 	16.534; 	 1.903; 	106.020; 	 5.793; 	28.277; 	 6.402; 
5,44; 	 0.000; 	-0.752; 	17.277; 	 0.804; 	105.411; 	 5.640; 	27.515; 	 6.250; 
5,48; 	 0.000; 	-1.273; 	17.384; 	 1.353; 	106.020; 	 7.774; 	30.564; 	 7.317; 
5,52; 	 0.000; 	-1.690; 	17.384; 	 1.793; 	106.173; 	 8.537; 	29.802; 	 8.384; 
5,56; 	 0.000; 	-1.586; 	18.127; 	 1.903; 	106.173; 	10.366; 	31.783; 	 9.146; 
5,6; 	 0.000; 	-1.482; 	17.808; 	 1.903; 	106.630; 	10.366; 	31.936; 	10.671; 
5,64; 	 0.000; 	-1.482; 	18.446; 	 1.353; 	105.715; 	10.976; 	32.698; 	10.671; 
5,68; 	 0.000; 	-0.647; 	18.923; 	 0.914; 	104.496; 	11.128; 	31.478; 	10.213; 
5,72; 	 0.000; 	-0.856; 	18.870; 	 1.793; 	106.020; 	12.805; 	33.536; 	10.976; 
5,76; 	 0.000; 	-1.378; 	19.507; 	 1.134; 	105.715; 	13.719; 	34.222; 	12.805; 
5,8; 	 0.000; 	-1.586; 	20.145; 	 1.134; 	105.106; 	13.110; 	34.375; 	11.890; 
5,84; 	 0.000; 	-1.378; 	20.251; 	 1.024; 	104.953; 	13.719; 	34.756; 	12.957; 
5,88; 	 0.000; 	-1.899; 	19.826; 	 2.013; 	106.020; 	15.854; 	35.823; 	14.710; 
5,92; 	 0.000; 	-1.690; 	19.614; 	 2.232; 	106.630; 	17.149; 	35.594; 	15.396; 
5,96; 	 0.000; 	-1.065; 	20.994; 	 0.694; 	104.496; 	15.472; 	34.070; 	14.024; 
6; 	 0.000; 	-1.169; 	21.737; 	 1.024; 	105.258; 	16.387; 	34.908; 	15.930; 
6,04; 	 0.000; 	-2.421; 	20.622; 	 2.342; 	106.173; 	18.521; 	36.585; 	17.530; 
