16 Bit ADC acqisition competed 1.1.2010 at 3:08:32

Multichannel modes: 4 Channels;
Time resolution = 0,02 ms.;
Triger position = 2,56 ms.;
Samples before = 128 smpl.;  Samples after = 16256 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;

5,54;	 0.000;	-0.908;	-2.898;	 1.353;
5,56;	 0.000;	-1.273;	-2.474;	 1.573;
5,58;	 0.000;	-1.012;	-3.376;	 1.848;
5,6;	 0.000;	-1.117;	-2.898;	 1.079;
5,62;	 0.000;	-1.221;	-3.535;	 1.628;
5,64;	 0.000;	-0.856;	-3.642;	 1.738;
5,66;	 0.000;	-0.647;	-3.748;	 1.408;
5,68;	 0.000;	-0.908;	-3.270;	 1.738;
5,7;	 0.000;	-0.856;	-3.535;	 1.848;
5,72;	 0.000;	-1.325;	-2.951;	 1.848;
5,74;	 0.000;	-0.856;	-2.739;	 1.353;
5,76;	 0.000;	-0.960;	-2.686;	 1.463;
5,78;	 0.000;	-1.012;	-3.058;	 1.683;
5,8;	 0.000;	-1.325;	-2.845;	 1.793;
5,82;	 0.000;	-1.117;	-2.845;	 1.738;
5,84;	 0.000;	-1.012;	-2.792;	 1.683;
5,86;	 0.000;	-1.117;	-2.898;	 1.134;
5,88;	 0.000;	-1.012;	-3.058;	 1.353;
5,9;	 0.000;	-1.273;	-3.323;	 1.738;
5,92;	 0.000;	-1.065;	-3.111;	 1.408;
5,94;	 0.000;	-0.752;	-3.217;	 1.683;
5,96;	 0.000;	-1.065;	-2.951;	 1.243;
5,98;	 0.000;	-0.960;	-3.058;	 1.079;
6;	 0.000;	-1.065;	-3.535;	 2.013;
6,02;	 0.000;	-1.065;	-2.951;	 0.969;
6,04;	 0.000;	-1.378;	-2.845;	 1.738;
6,06;	 0.000;	-0.960;	-3.482;	 1.628;
6,08;	 0.000;	-1.482;	-3.695;	 2.013;
6,1;	 0.000;	-1.430;	-2.633;	 1.518;
6,12;	 0.000;	-1.221;	-3.004;	 1.353;
6,14;	 0.000;	-0.908;	-2.845;	 1.738;
6,16;	 0.000;	-1.534;	-2.686;	 1.134;
6,18;	 0.000;	-0.960;	-3.217;	 1.683;
6,2;	 0.000;	-1.221;	-2.686;	 1.463;
6,22;	 0.000;	-0.960;	-2.633;	 1.298;
6,24;	 0.000;	-0.960;	-3.164;	 1.408;
6,26;	 0.000;	-1.430;	-3.323;	 1.188;
6,28;	 0.000;	-1.273;	-3.164;	 1.463;
6,3;	 0.000;	-1.012;	-3.323;	 1.518;
6,32;	 0.000;	-1.273;	-3.164;	 1.353;
6,34;	 0.000;	-1.117;	-3.164;	 1.408;
6,36;	 0.000;	-1.378;	-2.845;	 1.134;
6,38;	 0.000;	-1.065;	-3.429;	 2.232;
6,4;	 0.000;	-0.647;	-2.792;	 0.969;
6,42;	 0.000;	-1.378;	-3.111;	 1.958;
6,44;	 0.000;	-1.221;	-2.633;	 1.573;
6,46;	 0.000;	-1.065;	-3.323;	 1.628;
6,48;	 0.000;	-0.960;	-3.482;	 1.243;
6,5;	 0.000;	-1.378;	-3.217;	 1.903;
6,52;	 0.000;	-1.117;	-3.323;	 1.024;
6,54;	 0.000;	-0.960;	-3.588;	 1.628;
6,56;	 0.000;	-1.221;	-3.217;	 1.298;
6,58;	 0.000;	-1.221;	-3.270;	 1.738;
6,6;	 0.000;	-1.012;	-3.270;	 1.353;
6,62;	 0.000;	-0.804;	-3.323;	 1.188;
6,64;	 0.000;	-1.012;	-2.739;	 1.188;
6,66;	 0.000;	-0.908;	-3.058;	 0.914;
6,68;	 0.000;	-0.752;	-3.217;	 1.298;
6,7;	 0.000;	-1.273;	-3.376;	 1.298;
6,72;	 0.000;	-1.117;	-2.898;	 1.298;
6,74;	 0.000;	-1.065;	-3.270;	 1.353;
6,76;	 0.000;	-1.273;	-3.588;	 1.628;
6,78;	 0.000;	-1.169;	-3.323;	 1.408;
6,8;	 0.000;	-1.117;	-2.951;	 1.518;
6,82;	 0.000;	-1.065;	-3.004;	 1.298;
6,84;	 0.000;	-1.065;	-3.004;	 1.134;
6,86;	 0.000;	-1.273;	-3.270;	 1.573;
6,88;	 0.000;	-1.117;	-3.111;	 1.134;
6,9;	 0.000;	-1.065;	-3.217;	 1.188;
6,92;	 0.000;	-1.169;	-3.004;	 1.298;
6,94;	 0.000;	-1.065;	-3.535;	 1.353;
6,96;	 0.000;	-1.273;	-3.058;	 0.804;
6,98;	 0.000;	-1.169;	-3.111;	 1.243;
7;	 0.000;	-0.856;	-3.642;	 1.408;
7,02;	 0.000;	-0.752;	-3.058;	 1.024;
7,04;	 0.000;	-1.482;	-3.323;	 1.353;
7,06;	 0.000;	-1.273;	-3.642;	 1.188;
7,08;	 0.000;	-1.482;	-3.323;	 1.408;
7,1;	 0.000;	-1.273;	-3.429;	 1.188;
7,12;	 0.000;	-1.638;	-3.058;	 1.353;
7,14;	 0.000;	-0.960;	-2.951;	 0.804;
7,16;	 0.000;	-1.325;	-3.535;	 1.628;
7,18;	 0.000;	-1.273;	-3.217;	 1.134;
7,2;	 0.000;	-1.221;	-3.058;	 0.914;
7,22;	 0.000;	-1.586;	-2.792;	 0.859;
7,24;	 0.000;	-1.378;	-3.004;	 1.079;
7,26;	 0.000;	-0.804;	-3.164;	 0.859;
7,28;	 0.000;	-0.647;	-3.535;	 0.914;
7,3;	 0.000;	-1.430;	-2.898;	 0.914;
7,32;	 0.000;	-0.439;	-3.164;	 0.749;
7,34;	 0.000;	-0.856;	-3.535;	 0.969;
7,36;	 0.000;	-0.752;	-2.951;	 0.859;
7,38;	 0.000;	-0.960;	-3.482;	 1.024;
7,4;	 0.000;	-1.378;	-3.482;	 1.298;
7,42;	 0.000;	-1.065;	-3.535;	 1.408;
7,44;	 0.000;	-1.065;	-3.164;	 1.353;
7,46;	 0.000;	-1.117;	-3.376;	 1.628;
7,48;	 0.000;	-0.856;	-3.164;	 0.914;
7,5;	 0.000;	-1.169;	-3.164;	 1.134;
7,52;	 0.000;	-1.430;	-3.111;	 1.243;
7,54;	 0.000;	-1.012;	-2.739;	 0.749;
7,56;	 0.000;	-1.065;	-3.111;	 0.969;
7,58;	 0.000;	-1.273;	-3.429;	 1.024;
7,6;	 0.000;	-1.012;	-3.058;	 0.694;
7,62;	 0.000;	-1.482;	-3.217;	 0.914;
7,64;	 0.000;	-0.908;	-3.217;	 1.024;
7,66;	 0.000;	-0.647;	-2.845;	 0.309;
7,68;	 0.000;	-1.117;	-2.951;	 0.914;
7,7;	 0.000;	-0.908;	-3.323;	 1.134;
7,72;	 0.000;	-1.169;	-3.217;	 0.859;
7,74;	 0.000;	-1.430;	-3.323;	 1.024;
7,76;	 0.000;	-1.325;	-2.898;	 0.804;
7,78;	 0.000;	-1.325;	-3.164;	 1.079;
7,8;	 0.000;	-1.221;	-3.323;	 0.804;
7,82;	 0.000;	-1.534;	-2.845;	 1.079;
7,84;	 0.000;	-0.960;	-3.217;	 0.639;
7,86;	 0.000;	-1.169;	-2.898;	 0.804;
7,88;	 0.000;	-1.065;	-2.898;	 0.749;
7,9;	 0.000;	-1.325;	-3.323;	 1.134;
7,92;	 0.000;	-1.169;	-3.695;	 0.859;
7,94;	 0.000;	-1.482;	-2.898;	 0.749;
7,96;	 0.000;	-1.273;	-3.376;	 0.749;
7,98;	 0.000;	-1.430;	-2.898;	 0.419;
8;	 0.000;	-0.804;	-3.270;	 1.024;
8,02;	 0.000;	-0.647;	-2.898;	 0.364;
8,04;	 0.000;	-0.856;	-3.748;	 1.134;
8,06;	 0.000;	-1.065;	-3.535;	 1.188;
8,08;	 0.000;	-0.960;	-3.217;	 1.243;
8,1;	 0.000;	-1.273;	-3.376;	 1.079;
8,12;	 0.000;	-1.743;	-2.633;	 1.079;
8,14;	 0.000;	-0.595;	-2.845;	 0.419;
8,16;	 0.000;	-1.325;	-3.323;	 1.024;
8,18;	 0.000;	-0.960;	-3.111;	 0.914;
8,2;	 0.000;	-1.169;	-2.792;	 0.639;
8,22;	 0.000;	-1.065;	-2.951;	 0.804;
8,24;	 0.000;	-1.012;	-3.429;	 0.914;
8,26;	 0.000;	-0.960;	-3.482;	 1.024;
8,28;	 0.000;	-0.595;	-3.217;	 0.859;
8,3;	 0.000;	-0.752;	-3.004;	 0.694;
8,32;	 0.000;	-0.439;	-3.376;	 0.419;
8,34;	 0.000;	-0.908;	-3.376;	 0.969;
8,36;	 0.000;	-0.595;	-3.429;	 0.859;
8,38;	 0.000;	-1.534;	-3.376;	 1.243;
8,4;	 0.000;	-1.221;	-3.535;	 1.463;
8,42;	 0.000;	-1.273;	-3.270;	 1.079;
8,44;	 0.000;	-0.804;	-3.482;	 1.134;
8,46;	 0.000;	-1.273;	-3.376;	 0.969;
8,48;	 0.000;	-0.960;	-2.898;	 1.243;
8,5;	 0.000;	-1.065;	-3.270;	 0.694;
8,52;	 0.000;	-1.221;	-2.951;	 0.804;
8,54;	 0.000;	-1.482;	-2.845;	 0.859;
8,56;	 0.000;	-1.065;	-2.845;	 0.529;
8,58;	 0.000;	-1.117;	-3.482;	 1.024;
8,6;	 0.000;	-1.273;	-3.482;	 0.914;
8,62;	 0.000;	-1.273;	-3.376;	 0.749;
8,64;	 0.000;	-0.960;	-3.429;	 0.804;
8,66;	 0.000;	-0.700;	-3.164;	 0.969;
8,68;	 0.000;	-0.908;	-3.376;	 0.474;
8,7;	 0.000;	-1.012;	-3.217;	 0.694;
8,72;	 0.000;	-0.960;	-2.951;	 0.529;
8,74;	 0.000;	-1.169;	-3.058;	 0.859;
8,76;	 0.000;	-1.221;	-3.164;	 0.804;
8,78;	 0.000;	-1.221;	-3.270;	 1.298;
8,8;	 0.000;	-1.482;	-3.376;	 1.353;
8,82;	 0.000;	-1.325;	-3.058;	 0.859;
8,84;	 0.000;	-1.065;	-2.739;	 0.694;
8,86;	 0.000;	-0.908;	-3.111;	 0.529;
8,88;	 0.000;	-1.430;	-2.898;	 0.694;
8,9;	 0.000;	-0.856;	-3.429;	 0.254;
8,92;	 0.000;	-1.221;	-3.270;	 0.639;
8,94;	 0.000;	-0.856;	-3.588;	 0.254;
8,96;	 0.000;	-0.960;	-3.960;	 0.639;
8,98;	 0.000;	-1.065;	-3.482;	 0.529;
9;	 0.000;	-0.752;	-2.474;	-0.295;
